%%++%% moot/WASTE output for model=en-wsj (WORD "\t" OFFSET LENGTH "\t" FEATURES)
BIRDS	0 5	alpha,cap,a0,l5,b1,s1,S0,w1
its	449453 3	stop,lo,a0,l3,b1,s0,S0,w1
performance	449457 11	alpha,lo,a0,lN,b1,s0,S0,w1
:	449469 1	$:,*,a0,l0,b1,s1,S0,w1
it	449471 2	stop,lo,a0,l3,b1,s0,S0,w1
lived	449474 5	alpha,lo,a0,l5,b1,s0,S0,w1
for	449480 3	stop,lo,a0,l3,b1,s0,S0,w1
several	449484 7	alpha,lo,a0,lN,b1,s0,S0,w1
years	449492 5	alpha,lo,a0,l5,b1,s0,S0,w1
.	449497 1	$.,*,a0,l0,b0,s0,S1,w1

In	449500 2	stop,up,a0,l3,b1,s1,S0,w1
May	449503 3	alpha,up,a0,l3,b1,s0,S0,w1
,	449506 1	$,,*,a0,l0,b0,s0,S0,w1
1888	449508 4	num,*,a0,l5,b1,s0,S0,w1
,	449512 1	$,,*,a0,l0,b0,s0,S0,w1
I	449514 1	stop,cap,a0,l1,b1,s0,S0,w1
took	449516 4	alpha,lo,a0,l5,b1,s0,S0,w1
a	449521 1	stop,lo,a0,l1,b1,s0,S0,w1
nest	449523 4	alpha,lo,a0,l5,b1,s0,S0,w1
of	449528 2	stop,lo,a0,l3,b1,s0,S0,w1
three	449531 5	alpha,lo,a0,l5,b1,s0,S0,w1
young	449537 5	alpha,lo,a0,l5,b1,s0,S0,w1
Larks	449543 5	alpha,up,a0,l5,b1,s0,S0,w1
when	449549 4	stop,lo,a0,l5,b1,s0,S0,w1
they	449554 4	stop,lo,a0,l5,b1,s0,S0,w1
were	449559 4	stop,lo,a0,l5,b1,s0,S0,w1
only	449564 4	stop,lo,a0,l5,b1,s0,S0,w1
six	449569 3	alpha,lo,a0,l3,b1,s0,S0,w1
days	449573 4	alpha,lo,a0,l5,b1,s0,S0,w1
old	449578 3	alpha,lo,a0,l3,b1,s0,S0,w1
(	449582 1	$(,*,a0,l0,b1,s0,S0,w1
I	449583 1	stop,cap,a0,l1,b0,s0,S0,w1
first	449585 5	alpha,lo,a0,l5,b1,s0,S0,w1
saw	449591 3	alpha,lo,a0,l3,b1,s0,S0,w1
them	449595 4	stop,lo,a0,l5,b1,s0,S0,w1
as	449600 2	stop,lo,a0,l3,b1,s0,S0,w1
eggs	449603 4	alpha,lo,a0,l5,b1,s0,S0,w1
)	449607 1	$),*,a0,l0,b0,s0,S0,w1
and	449609 3	stop,lo,a0,l3,b1,s0,S0,w1
was	449613 3	stop,lo,a0,l3,b1,s0,S0,w1
obliged	449617 7	alpha,lo,a0,lN,b1,s0,S0,w1
to	449625 2	stop,lo,a0,l3,b1,s0,S0,w1
take	449628 4	alpha,lo,a0,l5,b1,s0,S0,w1
them	449633 4	stop,lo,a0,l5,b1,s0,S0,w1
when	449638 4	stop,lo,a0,l5,b1,s0,S0,w1
I	449643 1	stop,cap,a0,l1,b1,s0,S0,w1
did	449645 3	stop,lo,a0,l3,b1,s0,S0,w1
,	449648 1	$,,*,a0,l0,b0,s0,S0,w1
as	449650 2	stop,lo,a0,l3,b1,s0,S0,w1
I	449653 1	stop,cap,a0,l1,b1,s0,S0,w1
was	449655 3	stop,lo,a0,l3,b1,s0,S0,w1
then	449659 4	stop,lo,a0,l5,b1,s0,S0,w1
returning	449664 9	alpha,lo,a0,lN,b1,s0,S0,w1
home	449674 4	alpha,lo,a0,l5,b1,s0,S0,w1
.	449678 1	$.,*,a0,l0,b0,s0,S1,w1

Although	449680 8	alpha,up,a0,lN,b1,s1,S0,w1
they	449689 4	stop,lo,a0,l5,b1,s0,S0,w1
all	449694 3	stop,lo,a0,l3,b1,s0,S0,w1
had	449698 3	stop,lo,a0,l3,b1,s0,S0,w1
a	449702 1	stop,lo,a0,l1,b1,s0,S0,w1
touch	449704 5	alpha,lo,a0,l5,b1,s0,S0,w1
of	449710 2	stop,lo,a0,l3,b1,s0,S0,w1
cramp	449713 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	449718 1	$,,*,a0,l0,b0,s0,S0,w1
I	449720 1	stop,cap,a0,l1,b1,s0,S0,w1
successfully	449722 14	alpha,lo,a0,lN,b1,s0,S0,w1
reared	449737 6	alpha,lo,a0,lN,b1,s0,S0,w1
them	449744 4	stop,lo,a0,l5,b1,s0,S0,w1
,	449748 1	$,,*,a0,l0,b0,s0,S0,w1
but	449750 3	stop,lo,a0,l3,b1,s0,S0,w1
during	449754 6	stop,lo,a0,lN,b1,s0,S0,w1
their	449761 5	stop,lo,a0,l5,b1,s0,S0,w1
autumn	449767 6	alpha,lo,a0,lN,b1,s0,S0,w1
moult	449774 5	alpha,lo,a0,l5,b1,s0,S0,w1
two	449780 3	alpha,lo,a0,l3,b1,s0,S0,w1
of	449784 2	stop,lo,a0,l3,b1,s0,S0,w1
them	449787 4	stop,lo,a0,l5,b1,s0,S0,w1
died	449792 4	alpha,lo,a0,l5,b1,s0,S0,w1
;	449797 1	stop,up,a0,l5,b1,s0,S0,w1
the	449799 3	stop,lo,a0,l3,b1,s0,S0,w1
third	449803 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	449808 1	$,,*,a0,l0,b0,s0,S0,w1
which	449810 5	stop,lo,a0,l5,b1,s0,S0,w1
was	449816 3	stop,lo,a0,l3,b1,s0,S0,w1
a	449820 1	stop,lo,a0,l1,b1,s0,S0,w1
wonderfully	449822 11	alpha,lo,a0,lN,b1,s0,S0,w1
tame	449834 4	alpha,lo,a0,l5,b1,s0,S0,w1
little	449839 6	alpha,lo,a0,lN,b1,s0,S0,w1
bird	449846 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	449850 1	$,,*,a0,l0,b0,s0,S0,w1
I	449852 1	stop,cap,a0,l1,b1,s0,S0,w1
turned	449854 6	alpha,lo,a0,lN,b1,s0,S0,w1
loose	449861 5	alpha,lo,a0,l5,b1,s0,S0,w1
in	449867 2	stop,lo,a0,l3,b1,s0,S0,w1
an	449870 2	stop,lo,a0,l3,b1,s0,S0,w1
aviary	449873 6	alpha,lo,a0,lN,b1,s0,S0,w1
where	449880 5	stop,lo,a0,l5,b1,s0,S0,w1
it	449886 2	stop,lo,a0,l3,b1,s0,S0,w1
was	449889 3	stop,lo,a0,l3,b1,s0,S0,w1
quite	449893 5	alpha,lo,a0,l5,b1,s0,S0,w1
happy	449899 5	alpha,lo,a0,l5,b1,s0,S0,w1
;	449905 1	stop,up,a0,lN,b1,s0,S0,w1
it	449907 2	stop,lo,a0,l3,b1,s0,S0,w1
used	449910 4	alpha,lo,a0,l5,b1,s0,S0,w1
to	449915 2	stop,lo,a0,l3,b1,s0,S0,w1
strut	449918 5	alpha,lo,a0,l5,b1,s0,S0,w1
about	449924 5	stop,lo,a0,l5,b1,s0,S0,w1
in	449930 2	stop,lo,a0,l3,b1,s0,S0,w1
a	449933 1	stop,lo,a0,l1,b1,s0,S0,w1
consequential	449935 13	alpha,lo,a0,lN,b1,s0,S0,w1
manner	449949 6	alpha,lo,a0,lN,b1,s0,S0,w1
with	449956 4	stop,lo,a0,l5,b1,s0,S0,w1
its	449961 3	stop,lo,a0,l3,b1,s0,S0,w1
crest	449965 5	alpha,lo,a0,l5,b1,s0,S0,w1
up	449971 2	stop,lo,a0,l3,b1,s0,S0,w1
,	449973 1	$,,*,a0,l0,b0,s0,S0,w1
and	449975 3	stop,lo,a0,l3,b1,s0,S0,w1
although	449979 8	alpha,lo,a0,lN,b1,s0,S0,w1
it	449988 2	stop,lo,a0,l3,b1,s0,S0,w1
was	449991 3	stop,lo,a0,l3,b1,s0,S0,w1
a	449995 1	stop,lo,a0,l1,b1,s0,S0,w1
small	449997 5	alpha,lo,a0,l5,b1,s0,S0,w1
bird	450003 4	alpha,lo,a0,l5,b1,s0,S0,w1
it	450008 2	stop,lo,a0,l3,b1,s0,S0,w1
sang	450011 4	alpha,lo,a0,l5,b1,s0,S0,w1
so	450016 2	stop,lo,a0,l3,b1,s0,S0,w1
well	450019 4	alpha,lo,a0,l5,b1,s0,S0,w1
that	450024 4	stop,lo,a0,l5,b1,s0,S0,w1
I	450029 1	stop,cap,a0,l1,b1,s0,S0,w1
felt	450031 4	alpha,lo,a0,l5,b1,s0,S0,w1
certain	450036 7	alpha,lo,a0,lN,b1,s0,S0,w1
it	450044 2	stop,lo,a0,l3,b1,s0,S0,w1
must	450047 4	alpha,lo,a0,l5,b1,s0,S0,w1
be	450052 2	stop,lo,a0,l3,b1,s0,S0,w1
a	450055 1	stop,lo,a0,l1,b1,s0,S0,w1
cock	450057 4	alpha,lo,a0,l5,b1,s0,S0,w1
and	450062 3	stop,lo,a0,l3,b1,s0,S0,w1
never	450066 5	alpha,lo,a0,l5,b1,s0,S0,w1
examined	450072 8	alpha,lo,a0,lN,b1,s0,S0,w1
it	450081 2	stop,lo,a0,l3,b1,s0,S0,w1
;	450084 1	stop,cap,a0,l3,b1,s0,S0,w1
eventually	450086 10	alpha,lo,a0,lN,b1,s0,S0,w1
it	450097 2	stop,lo,a0,l3,b1,s0,S0,w1
settled	450100 7	alpha,lo,a0,lN,b1,s0,S0,w1
the	450108 3	stop,lo,a0,l3,b1,s0,S0,w1
point	450112 5	alpha,lo,a0,l5,b1,s0,S0,w1
by	450118 2	stop,lo,a0,l3,b1,s0,S0,w1
laying	450121 6	alpha,lo,a0,lN,b1,s0,S0,w1
an	450128 2	stop,lo,a0,l3,b1,s0,S0,w1
egg	450131 3	alpha,lo,a0,l3,b1,s0,S0,w1
.	450134 1	$.,*,a0,l0,b0,s0,S1,w1

This	450136 4	stop,up,a0,l5,b1,s1,S0,w1
bird	450141 4	alpha,lo,a0,l5,b1,s0,S0,w1
was	450146 3	stop,lo,a0,l3,b1,s0,S0,w1
very	450150 4	stop,lo,a0,l5,b1,s0,S0,w1
fond	450155 4	alpha,lo,a0,l5,b1,s0,S0,w1
of	450160 2	stop,lo,a0,l3,b1,s0,S0,w1
perching	450163 8	alpha,lo,a0,lN,b1,s0,S0,w1
upon	450172 4	alpha,lo,a0,l5,b1,s0,S0,w1
a	450177 1	stop,lo,a0,l1,b1,s0,S0,w1
branch	450179 6	alpha,lo,a0,lN,b1,s0,S0,w1
with	450186 4	stop,lo,a0,l5,b1,s0,S0,w1
the	450191 3	stop,lo,a0,l3,b1,s0,S0,w1
long	450195 4	alpha,lo,a0,l5,b1,s0,S0,w1
hind	450200 4	alpha,lo,a0,l5,b1,s0,S0,w1
toe	450205 3	alpha,lo,a0,l3,b1,s0,S0,w1
and	450209 3	stop,lo,a0,l3,b1,s0,S0,w1
claw	450213 4	alpha,lo,a0,l5,b1,s0,S0,w1
hanging	450218 7	alpha,lo,a0,lN,b1,s0,S0,w1
straight	450226 8	alpha,lo,a0,lN,b1,s0,S0,w1
down	450235 4	stop,lo,a0,l5,b1,s0,S0,w1
over	450240 4	stop,lo,a0,l5,b1,s0,S0,w1
the	450245 3	stop,lo,a0,l3,b1,s0,S0,w1
back	450249 4	alpha,lo,a0,l5,b1,s0,S0,w1
of	450254 2	stop,lo,a0,l3,b1,s0,S0,w1
it	450257 2	stop,lo,a0,l3,b1,s0,S0,w1
,	450259 1	$,,*,a0,l0,b0,s0,S0,w1
but	450261 3	stop,lo,a0,l3,b1,s0,S0,w1
it	450265 2	stop,lo,a0,l3,b1,s0,S0,w1
always	450268 6	alpha,lo,a0,lN,b1,s0,S0,w1
roosted	450275 7	alpha,lo,a0,lN,b1,s0,S0,w1
on	450283 2	stop,lo,a0,l3,b1,s0,S0,w1
the	450286 3	stop,lo,a0,l3,b1,s0,S0,w1
earth	450290 5	alpha,lo,a0,l5,b1,s0,S0,w1
after	450296 5	stop,lo,a0,l5,b1,s0,S0,w1
the	450302 3	stop,lo,a0,l3,b1,s0,S0,w1
manner	450306 6	alpha,lo,a0,lN,b1,s0,S0,w1
of	450313 2	stop,lo,a0,l3,b1,s0,S0,w1
its	450316 3	stop,lo,a0,l3,b1,s0,S0,w1
species	450320 7	alpha,lo,a0,lN,b1,s0,S0,w1
.	450327 1	$.,*,a0,l0,b0,s0,S1,w1
*	450328 1	$~,*,a0,l0,b0,s0,S0,w1
Judging	450331 7	alpha,up,a0,lN,b1,s0,S0,w1
by	450339 2	stop,lo,a0,l3,b1,s0,S0,w1
mj	450342 2	rom,*,a0,l3,b1,s0,S0,w1
^	450344 1	$~,*,a0,l0,b0,s0,S0,w1
own	450346 3	stop,lo,a0,l3,b1,s0,S0,w1
experience	450350 10	alpha,lo,a0,lN,b1,s0,S0,w1
of	450361 2	stop,lo,a0,l3,b1,s0,S0,w1
rearing	450364 7	alpha,lo,a0,lN,b1,s0,S0,w1
Sky-Larks	450372 9	alpha,up,a0,l3,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,up,a0,l5,b0,s0,S0,w0
I	450382 1	stop,cap,a0,l1,b1,s0,S0,w1
am	450384 2	stop,lo,a0,l3,b1,s0,S0,w1
inclined	450387 8	alpha,lo,a0,lN,b1,s0,S0,w1
to	450396 2	stop,lo,a0,l3,b1,s0,S0,w1
think	450399 5	alpha,lo,a0,l5,b1,s0,S0,w1
that	450405 4	stop,lo,a0,l5,b1,s0,S0,w1
a	450410 1	stop,lo,a0,l1,b1,s0,S0,w1
turf	450412 4	alpha,lo,a0,l5,b1,s0,S0,w1
in	450417 2	stop,lo,a0,l3,b1,s0,S0,w1
the	450420 3	stop,lo,a0,l3,b1,s0,S0,w1
cage	450424 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	450428 1	$,,*,a0,l0,b0,s0,S0,w1
with	450430 4	stop,lo,a0,l5,b1,s0,S0,w1
a	450435 1	stop,lo,a0,l1,b1,s0,S0,w1
hole	450437 4	alpha,lo,a0,l5,b1,s0,S0,w1
cut	450442 3	alpha,lo,a0,l3,b1,s0,S0,w1
in	450446 2	stop,lo,a0,l3,b1,s0,S0,w1
it	450449 2	stop,lo,a0,l3,b1,s0,S0,w1
,	450451 1	$,,*,a0,l0,b0,s0,S0,w1
and	450453 3	stop,lo,a0,l3,b1,s0,S0,w1
a	450457 1	stop,lo,a0,l1,b1,s0,S0,w1
Whitethroat	450459 11	alpha,up,a0,lN,b1,s0,S0,w1
's	450470 2	$',*,a0,l0,b0,s0,S0,w1 stop,lo,a0,l1,b0,s0,S0,w0
nest	450473 4	alpha,lo,a0,l5,b1,s0,S0,w1
fixed	450478 5	alpha,lo,a0,l5,b1,s0,S0,w1
therein	450484 7	alpha,lo,a0,lN,b1,s0,S0,w1
is	450492 2	stop,lo,a0,l3,b1,s0,S0,w1
an	450495 2	stop,lo,a0,l3,b1,s0,S0,w1
advantage	450498 9	alpha,lo,a0,lN,b1,s0,S0,w1
;	450508 1	stop,cap,a0,l3,b1,s0,S0,w1
the	450510 3	stop,lo,a0,l3,b1,s0,S0,w1
young	450514 5	alpha,lo,a0,l5,b1,s0,S0,w1
birds	450520 5	alpha,lo,a0,l5,b1,s0,S0,w1
at	450526 2	stop,lo,a0,l3,b1,s0,S0,w1
first	450529 5	alpha,lo,a0,l5,b1,s0,S0,w1
sleep	450535 5	alpha,lo,a0,l5,b1,s0,S0,w1
in	450541 2	stop,lo,a0,l3,b1,s0,S0,w1
the	450544 3	stop,lo,a0,l3,b1,s0,S0,w1
nest	450548 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	450552 1	$,,*,a0,l0,b0,s0,S0,w1
but	450554 3	stop,lo,a0,l3,b1,s0,S0,w1
as	450558 2	stop,lo,a0,l3,b1,s0,S0,w1
they	450561 4	stop,lo,a0,l5,b1,s0,S0,w1
get	450566 3	alpha,lo,a0,l3,b1,s0,S0,w1
older	450570 5	alpha,lo,a0,l5,b1,s0,S0,w1
the	450576 3	stop,lo,a0,l3,b1,s0,S0,w1
}-	450579 2	$),*,a0,l0,b0,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0
crouch	450582 6	alpha,lo,a0,lN,b1,s0,S0,w1
down	450589 4	stop,lo,a0,l5,b1,s0,S0,w1
on	450594 2	stop,lo,a0,l3,b1,s0,S0,w1
the	450597 3	stop,lo,a0,l3,b1,s0,S0,w1
turf	450601 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	450605 1	$,,*,a0,l0,b0,s0,S0,w1
and	450607 3	stop,lo,a0,l3,b1,s0,S0,w1
the	450611 3	stop,lo,a0,l3,b1,s0,S0,w1
moist	450615 5	alpha,lo,a0,l5,b1,s0,S0,w1
warmth	450621 6	alpha,lo,a0,lN,b1,s0,S0,w1
seems	450628 5	alpha,lo,a0,l5,b1,s0,S0,w1
to	450634 2	stop,lo,a0,l3,b1,s0,S0,w1
lessen	450637 6	alpha,lo,a0,lN,b1,s0,S0,w1
the	450644 3	stop,lo,a0,l3,b1,s0,S0,w1
tendency	450648 8	alpha,lo,a0,lN,b1,s0,S0,w1
to	450657 2	stop,lo,a0,l3,b1,s0,S0,w1
cramp	450660 5	alpha,lo,a0,l5,b1,s0,S0,w1
;	450666 1	stop,up,a0,l5,b1,s0,S0,w1
but	450668 3	stop,lo,a0,l3,b1,s0,S0,w1
I	450672 1	stop,cap,a0,l1,b1,s0,S0,w1
am	450674 2	stop,lo,a0,l3,b1,s0,S0,w1
sure	450677 4	alpha,lo,a0,l5,b1,s0,S0,w1
that	450682 4	stop,lo,a0,l5,b1,s0,S0,w1
another	450687 7	alpha,lo,a0,lN,b1,s0,S0,w1
and	450695 3	stop,lo,a0,l3,b1,s0,S0,w1
a	450699 1	stop,lo,a0,l1,b1,s0,S0,w1
more	450701 4	stop,lo,a0,l5,b1,s0,S0,w1
important	450706 9	alpha,lo,a0,lN,b1,s0,S0,w1
thing	450716 5	alpha,lo,a0,l5,b1,s0,S0,w1
is	450722 2	stop,lo,a0,l3,b1,s0,S0,w1
to	450725 2	stop,lo,a0,l3,b1,s0,S0,w1
give	450728 4	alpha,lo,a0,l5,b1,s0,S0,w1
them	450733 4	stop,lo,a0,l5,b1,s0,S0,w1
food	450738 4	alpha,lo,a0,l5,b1,s0,S0,w1
containing	450743 10	alpha,lo,a0,lN,b1,s0,S0,w1
plenty	450754 6	alpha,lo,a0,lN,b1,s0,S0,w1
of	450761 2	stop,lo,a0,l3,b1,s0,S0,w1
egg	450764 3	alpha,lo,a0,l3,b1,s0,S0,w1
and	450768 3	stop,lo,a0,l3,b1,s0,S0,w1
moistened	450772 9	alpha,lo,a0,lN,b1,s0,S0,w1
ants	450782 4	alpha,lo,a0,l5,b1,s0,S0,w1
'	450786 1	$',*,a0,l0,b0,s0,S0,w1
cocoons	450788 7	alpha,lo,a0,lN,b1,s0,S0,w1
.	450795 1	$.,*,a0,l0,b0,s0,S1,w1

When	450797 4	stop,up,a0,l5,b1,s1,S0,w1
adult	450802 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	450807 1	$,,*,a0,l0,b0,s0,S0,w1
two	450809 3	alpha,lo,a0,l3,b1,s0,S0,w1
or	450813 2	stop,lo,a0,l3,b1,s0,S0,w1
three	450816 5	alpha,lo,a0,l5,b1,s0,S0,w1
mealworms	450822 9	alpha,lo,a0,lN,b1,s0,S0,w1
a	450832 1	stop,lo,a0,l1,b1,s0,S0,w1
day	450834 3	alpha,lo,a0,l3,b1,s0,S0,w1
,	450837 1	$,,*,a0,l0,b0,s0,S0,w1
a	450839 1	stop,lo,a0,l1,b1,s0,S0,w1
handful	450841 7	alpha,lo,a0,lN,b1,s0,S0,w1
of	450849 2	stop,lo,a0,l3,b1,s0,S0,w1
canar	450852 5	alpha,lo,a0,l5,b1,s0,S0,w1
}'	450857 2	$),*,a0,l0,b0,s0,S0,w1 $',*,a0,l0,b0,s0,S0,w0
and	450860 3	stop,lo,a0,l3,b1,s0,S0,w1
millet-seed	450864 11	alpha,lo,a0,lN,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
once	450876 4	stop,lo,a0,l5,b1,s0,S0,w1
a	450881 1	stop,lo,a0,l1,b1,s0,S0,w1
week	450883 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	450887 1	$,,*,a0,l0,b0,s0,S0,w1
and	450889 3	stop,lo,a0,l3,b1,s0,S0,w1
watercress	450893 10	alpha,lo,a0,lN,b1,s0,S0,w1
when	450904 4	stop,lo,a0,l5,b1,s0,S0,w1
obtainable	450909 10	alpha,lo,a0,lN,b1,s0,S0,w1
,	450919 1	$,,*,a0,l0,b0,s0,S0,w1
should	450921 6	stop,lo,a0,lN,b1,s0,S0,w1
be	450928 2	stop,lo,a0,l3,b1,s0,S0,w1
given	450931 5	alpha,lo,a0,l5,b1,s0,S0,w1
in	450937 2	stop,lo,a0,l3,b1,s0,S0,w1
addition	450940 8	alpha,lo,a0,lN,b1,s0,S0,w1
to	450949 2	stop,lo,a0,l3,b1,s0,S0,w1
the	450952 3	stop,lo,a0,l3,b1,s0,S0,w1
usual	450956 5	alpha,lo,a0,l5,b1,s0,S0,w1
soft	450962 4	alpha,lo,a0,l5,b1,s0,S0,w1
food	450967 4	alpha,lo,a0,l5,b1,s0,S0,w1
.	450971 1	$.,*,a0,l0,b0,s0,S1,w1

I	450974 1	stop,cap,a0,l1,b1,s1,S0,w1
think	450976 5	alpha,lo,a0,l5,b1,s0,S0,w1
it	450982 2	stop,lo,a0,l3,b1,s0,S0,w1
was	450985 3	stop,lo,a0,l3,b1,s0,S0,w1
in	450989 2	stop,lo,a0,l3,b1,s0,S0,w1
the	450992 3	stop,lo,a0,l3,b1,s0,S0,w1
winter	450996 6	alpha,lo,a0,lN,b1,s0,S0,w1
of	451003 2	stop,lo,a0,l3,b1,s0,S0,w1
1891-2	451006 6	num,*,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 num,*,a0,l1,b0,s0,S0,w0
that	451013 4	stop,lo,a0,l5,b1,s0,S0,w1
my	451018 2	stop,lo,a0,l3,b1,s0,S0,w1
man	451021 3	alpha,lo,a0,l3,b1,s0,S0,w1
,	451024 1	$,,*,a0,l0,b0,s0,S0,w1
having	451026 6	stop,lo,a0,lN,b1,s0,S0,w1
nothing	451033 7	alpha,lo,a0,lN,b1,s0,S0,w1
else	451041 4	alpha,lo,a0,l5,b1,s0,S0,w1
to	451046 2	stop,lo,a0,l3,b1,s0,S0,w1
do	451049 2	stop,lo,a0,l3,b1,s0,S0,w1
,	451051 1	$,,*,a0,l0,b0,s0,S0,w1
took	451053 4	alpha,lo,a0,l5,b1,s0,S0,w1
my	451058 2	stop,lo,a0,l3,b1,s0,S0,w1
nets	451061 4	alpha,lo,a0,l5,b1,s0,S0,w1
out	451066 3	stop,lo,a0,l3,b1,s0,S0,w1
and	451070 3	stop,lo,a0,l3,b1,s0,S0,w1
brought	451074 7	alpha,lo,a0,lN,b1,s0,S0,w1
me	451082 2	stop,lo,a0,l3,b1,s0,S0,w1
home	451085 4	alpha,lo,a0,l5,b1,s0,S0,w1
thirteen	451090 8	alpha,lo,a0,lN,b1,s0,S0,w1
Sky-Larks	451099 9	alpha,up,a0,l3,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,up,a0,l5,b0,s0,S0,w0
,	451108 1	$,,*,a0,l0,b0,s0,S0,w1
in	451110 2	stop,lo,a0,l3,b1,s0,S0,w1
addition	451113 8	alpha,lo,a0,lN,b1,s0,S0,w1
to	451122 2	stop,lo,a0,l3,b1,s0,S0,w1
a	451125 1	stop,lo,a0,l1,b1,s0,S0,w1
few	451127 3	stop,lo,a0,l3,b1,s0,S0,w1
other	451131 5	stop,lo,a0,l5,b1,s0,S0,w1
birds	451137 5	alpha,lo,a0,l5,b1,s0,S0,w1
;	451143 1	stop,up,a0,l5,b1,s0,S0,w1
about	451145 5	stop,lo,a0,l5,b1,s0,S0,w1
eight	451151 5	alpha,lo,a0,l5,b1,s0,S0,w1
of	451157 2	stop,lo,a0,l3,b1,s0,S0,w1
these	451160 5	stop,lo,a0,l5,b1,s0,S0,w1
proved	451166 6	alpha,lo,a0,lN,b1,s0,S0,w1
to	451173 2	stop,lo,a0,l3,b1,s0,S0,w1
be	451176 2	stop,lo,a0,l3,b1,s0,S0,w1
cock	451179 4	alpha,lo,a0,l5,b1,s0,S0,w1
birds	451184 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	451189 1	$,,*,a0,l0,b0,s0,S0,w1
and	451191 3	stop,lo,a0,l3,b1,s0,S0,w1
I	451195 1	stop,cap,a0,l1,b1,s0,S0,w1
selected	451197 8	alpha,lo,a0,lN,b1,s0,S0,w1
the	451206 3	stop,lo,a0,l3,b1,s0,S0,w1
three	451210 5	alpha,lo,a0,l5,b1,s0,S0,w1
best	451216 4	alpha,lo,a0,l5,b1,s0,S0,w1
singers	451221 7	alpha,lo,a0,lN,b1,s0,S0,w1
as	451229 2	stop,lo,a0,l3,b1,s0,S0,w1
cage-birds	451232 10	alpha,lo,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
;	451243 1	stop,lo,a0,l5,b0,s0,S0,w1
one	451245 3	alpha,lo,a0,l3,b1,s0,S0,w1
of	451249 2	stop,lo,a0,l3,b1,s0,S0,w1
these	451252 5	stop,lo,a0,l5,b1,s0,S0,w1
I	451258 1	stop,cap,a0,l1,b1,s0,S0,w1
finally	451260 7	alpha,lo,a0,lN,b1,s0,S0,w1
retained	451268 8	alpha,lo,a0,lN,b1,s0,S0,w1
,	451276 1	$,,*,a0,l0,b0,s0,S0,w1
parting	451278 7	alpha,lo,a0,lN,b1,s0,S0,w1
with	451286 4	stop,lo,a0,l5,b1,s0,S0,w1
the	451291 3	stop,lo,a0,l3,b1,s0,S0,w1
remainder	451295 9	alpha,lo,a0,lN,b1,s0,S0,w1
to	451305 2	stop,lo,a0,l3,b1,s0,S0,w1
friends	451308 7	alpha,lo,a0,lN,b1,s0,S0,w1
.	451315 1	$.,*,a0,l0,b0,s0,S1,w1

This	451317 4	stop,up,a0,l5,b1,s1,S0,w1
bird	451322 4	alpha,lo,a0,l5,b1,s0,S0,w1
was	451327 3	stop,lo,a0,l3,b1,s0,S0,w1
always	451331 6	alpha,lo,a0,lN,b1,s0,S0,w1
tame	451338 4	alpha,lo,a0,l5,b1,s0,S0,w1
and	451343 3	stop,lo,a0,l3,b1,s0,S0,w1
healthy	451347 7	alpha,lo,a0,lN,b1,s0,S0,w1
:	451355 1	$:,*,a0,l0,b1,s1,S0,w1
he	451357 2	stop,lo,a0,l3,b1,s0,S0,w1
lived	451360 5	alpha,lo,a0,l5,b1,s0,S0,w1
in	451366 2	stop,lo,a0,l3,b1,s0,S0,w1
a	451369 1	stop,lo,a0,l1,b1,s0,S0,w1
two	451371 3	alpha,lo,a0,l3,b1,s0,S0,w1
foot	451375 4	alpha,lo,a0,l5,b1,s0,S0,w1
"	451380 1	$",*,a0,l0,b1,s0,S0,w1
runner	451381 6	alpha,lo,a0,lN,b0,s0,S0,w1
,	451387 1	$,,*,a0,l0,b0,s0,S0,w1
"	451388 1	$",*,a0,l0,b0,s0,S0,w1
half	451390 4	alpha,lo,a0,l5,b1,s0,S0,w1
turfed	451395 6	alpha,lo,a0,lN,b1,s0,S0,w1
and	451402 3	stop,lo,a0,l3,b1,s0,S0,w1
half	451406 4	alpha,lo,a0,l5,b1,s0,S0,w1
sanded	451411 6	alpha,lo,a0,lN,b1,s0,S0,w1
;	451417 1	$;,*,a0,l0,b0,s0,S0,w1
he	451419 2	stop,lo,a0,l3,b1,s0,S0,w1
was	451422 3	stop,lo,a0,l3,b1,s0,S0,w1
a	451426 1	stop,lo,a0,l1,b1,s0,S0,w1
grand	451428 5	alpha,lo,a0,l5,b1,s0,S0,w1
singer	451434 6	alpha,lo,a0,lN,b1,s0,S0,w1
